1977,331.7
1978,333.48
1979,335.26
1980,336.53
1981,337.63
1982,338.12
1983,340.02
1984,341.84
1985,343.26
1986,344.47
1987,346.13
1988,348.3
1989,349.5
1990,350.98
1991,352.69
1992,354.18
1993,354.94
1994,356.37
1995,358.37
1996,359.9
1997,361.26
1998,363.74
1999,365.69
2000,366.98
2001,368.51
2002,370.64
2003,372.9
2004,374.77
2005,376.76
2006,378.68
2007,380.56
2008,382.69
2009,384.26
2010,386.08
2011,387.94
2012,389.97
2013,392.82
2014,394.82
2015,397.29
2016,400.47
