1,52.210000,1.120000,10.7,0.875061,-274.6,0.445137,-159,0.144502,2.852369,-24.58,88,1.229170
2,52.210000,1.120000,21,0.875061,-274.6,0.033424,-159,0.203219,2.976577,-24.58,89,1.626340
3,52.170000,1.075000,28.3,1.220108,-271.5,0.437909,-155.51,0.057546,3.767794,-24.47,91,1.246745
4,52.170000,1.075000,31.5,1.220108,-271.5,0.428297,-155.51,0.058684,3.777031,-24.47,91,1.419956
5,52.170000,1.075000,30,1.220108,-271.5,0.524136,-155.51,0.049522,3.697726,-24.47,90,1.633468
6,52.145000,1.205000,31.5,1.357935,-278.9,0.588047,-162.02,0.101763,4.536116,-24.53,76,1.430559
7,50.510000,-4.270000,12.3,1.421604,-229,1.028164,-127.78,0.003127,3.607525,-25.74,128,1.228272
8,51.415000,-2.090000,20,1.444045,-175.2,0.978181,-115.65,0.037803,3.803840,-23.4,138,1.228272
10,51.855000,0.280000,31.76,1.491362,-224.2,0.080626,-128.43,0.000663,5.736368,-25.42,137,1.243658
11,53.820000,-1.230000,19.3,1.542825,-174.7,0.800580,-114.32,0.136129,5.525367,-25,50,1.226213
12,53.800000,-0.820000,26,1.558709,-174.2,0.618153,-124.48,0.001421,5.035087,-25.42,60,1.239675
13,51.275000,-1.010000,25,1.589950,-179.7,0.287130,-117.07,0.026948,4.737252,-27.32,207,1.243658
14,51.450000,-0.670000,37.8,1.760422,-174.5,0.476976,-119.08,0.403112,7.959214,-29.53,104,1.243658
15,51.970000,-1.021000,40,1.803457,-158.9,0.281942,-118.19,0.004132,6.685413,-30.33,248,1.233377
16,50.750000,-3.470000,26.5,1.559907,-204.7,0.139564,-117.39,0.000277,4.176181,-26.47,263,0.977358
18,52.370000,1.090000,33.5,1.607455,-274.6,0.072617,-161.83,0.016876,5.516328,-25.04,138,0.907304
19,55.930000,-2.960000,22,1.662758,-164.7,0.752048,-101.23,0.004652,5.395093,-23.38,148,1.000000
20,52.270000,-1.540000,27.5,1.735599,-150.3,0.547529,-117.94,0.004334,6.478535,-23.76,155,0.892095
21,55.225000,-1.825000,32,1.755875,-206,0.337858,-119.05,0.005215,5.510150,-23.11,261,1.002252
22,54.590000,-1.485000,29,1.788875,-197.3,0.164650,-125.66,0.000000,5.532520,-22.59,299,0.995504
23,51.225000,-3.120000,25.5,1.790988,-180.6,0.435685,-105.89,0.000851,5.128247,-24.46,320,0.994229
24,50.925000,-1.310000,27.5,1.797960,-192.2,0.509471,-124.27,0.179466,6.737817,-28.27,163,1.000000
25,54.065000,-1.385000,31.5,1.799341,-181,0.330211,-114.09,0.000061,6.043101,-22.82,228,1.000000
26,51.305000,-0.510000,34,1.837588,-178.8,0.543447,-120.51,0.293264,9.034665,-26.2,92,0.995635
27,52.275000,0.200000,42,1.846337,-220.1,0.291369,-125.4,0.000000,7.273283,-30.58,162,0.897627
28,55.765000,-1.730000,34,1.873902,-223.9,0.361539,-120.15,0.066376,6.665898,-24.68,270,1.000000
29,48.583300,-3.666700,37.8,1.696793,-246.6,0.757700,-143.23,0.119355,5.744470,-25.74,148,1.118926
30,48.583300,-3.666700,36,1.696793,-246.6,0.757700,-143.23,0.119355,5.744470,-25.74,148,1.230449
31,48.624950,-3.458350,25,1.518514,-244.4,0.837525,-150.94,0.091638,4.382908,-26.92,151,1.310693
32,48.083300,-1.825000,19.5,1.447158,-206.7,0.762453,-130.59,0.000625,4.841379,-25.66,87,1.260405
35,47.316650,5.000000,28,1.722634,-288.4,0.908592,-206.1,0.003007,5.132082,-28.89,249,1.278754
36,47.374950,5.166650,34.3,1.979093,-291.4,0.075182,-207.81,0.001840,6.351302,-28.75,607,1.086253
37,48.666650,2.000000,30,1.600973,-263.1,0.211388,-155.72,0.000000,4.770173,-26.1,243,1.108565
38,47.916650,2.208300,36.42,1.667453,-267.7,0.127429,-172.06,0.000000,6.383439,-28.05,198,1.135419
39,47.541650,1.625000,37.44,1.682326,-266.6,0.137987,-164.43,0.002940,7.279364,-33.67,195,1.134751
40,48.416650,6.541650,33.5,1.740363,-286.5,0.232742,-213.24,0.000000,5.106126,-27.01,487,1.002857
41,48.791650,6.041650,29.09,1.686636,-268.9,0.341632,-200,0.000309,5.165385,-27.48,409,1.108565
42,43.749950,4.083300,36.88,1.718502,-354,0.419129,-230.39,1.295836,6.957506,-43.27,166,1.096910
43,43.916600,3.625000,32.85,1.783904,-319.1,1.393048,-199.55,0.034660,4.771700,-40.72,151,1.103804
44,43.749950,4.083300,46.4,1.718502,-354,0.510143,-230.39,2.697272,7.625186,-43.27,125,1.247973
45,44.083300,-0.358350,39.02,1.654946,-384.6,0.367356,-187.28,0.136034,6.431454,-34.83,156,1.006594
47,48.333300,-4.000050,29.5,1.630936,-247.5,0.832700,-122.91,0.028354,4.930140,-25.28,143,1.112605
48,46.950000,8.250000,13.8,1.977724,-334.3,1.490492,-192.76,0.000022,4.065177,-31.57,856,0.995635
49,47.200000,7.800000,40,2.045323,-333.8,0.887223,-202.87,0.000000,5.552091,-34.8,865,1.005609
50,46.800000,6.950000,28,1.863323,-340.8,0.918607,-217.46,0.002478,4.330756,-27.63,1081,1.001301
51,47.350000,7.400000,15,1.832509,-329.2,1.196453,-212.07,0.000000,4.597285,-30.18,616,1.003461
52,47.100000,7.850000,22.2,2.064458,-334.9,1.451387,-200.56,0.000000,4.669170,-39.82,542,0.919078
53,47.100000,7.850000,29.5,2.064458,-334.9,1.451387,-200.56,0.000000,4.669170,-39.82,542,1.004321
54,47.100000,7.850000,35.5,2.064458,-334.9,1.451387,-200.56,0.000000,4.669170,-39.82,542,1.114944
55,46.450000,6.450000,23.5,1.729974,-351.8,0.957128,-217.11,0.003707,3.427882,-26.97,1087,1.004751
56,46.250000,8.550000,21.5,2.025306,-333.1,1.312896,-193.68,0.042103,5.176577,-41.86,1610,0.998695
57,46.700000,6.600000,35.46,2.096910,-344.2,1.035710,-218.05,0.086419,7.621166,-27.72,379,0.998695
58,59.500000,18.000000,21.4,1.181844,-380.2,0.352183,-200.76,0.000174,3.547114,-24.7,88,1.225309
59,59.500000,18.000000,22.6,1.181844,-380.2,0.376942,-200.76,0.000180,3.563832,-24.7,86,1.378398
60,59.500000,18.000000,32.33,1.181844,-380.2,0.352183,-200.76,0.000178,3.559362,-24.7,85,1.623249
61,59.500000,18.000000,37.5,1.612784,-380.2,0.321805,-200.76,0.000066,5.162660,-24.7,109,1.227887
62,59.500000,18.000000,31.2,1.612784,-380.2,0.311542,-200.76,0.000068,5.177600,-24.7,109,1.380211
63,61.400000,22.400000,29.2,1.821514,-340.7,0.322426,-166.64,0.000000,6.861083,-26.06,141,1.086360
64,61.400000,22.400000,29.2,1.821514,-340.7,0.322426,-166.64,0.000000,6.861083,-26.06,141,1.089905
65,65.750000,25.400000,38,1.683947,-330.4,0.117603,-161.12,0.000000,6.164090,-27.33,149,1.077368
66,65.750000,25.400000,33.29,1.683947,-330.4,0.117603,-161.12,0.000000,6.164090,-27.33,149,1.086360
67,65.750000,25.400000,41,1.683947,-330.4,0.117603,-161.12,0.000000,6.164090,-27.33,149,1.090611
68,65.350000,25.850000,36.5,1.688064,-319.3,0.240050,-160.01,0.000000,6.109757,-27.56,141,1.077368
69,65.350000,25.850000,45.45,1.688064,-319.3,0.240050,-160.01,0.000000,6.109757,-27.56,141,1.081347
70,65.350000,25.850000,39,1.688064,-319.3,0.240050,-160.01,0.000000,6.109757,-27.56,141,1.086360
71,65.350000,25.850000,37.78,1.688064,-319.3,0.240050,-160.01,0.000000,6.109757,-27.56,141,1.090611
72,64.950000,26.000000,42,1.614897,-313.7,0.377124,-160.08,0.000000,5.444309,-26.83,123,1.086360
73,64.950000,26.000000,38.5,1.614897,-313.7,0.377124,-160.08,0.000000,5.444309,-26.83,123,1.090611
74,63.050000,27.150000,44.2,1.745075,-321.5,0.452553,-173.34,0.000000,5.453914,-23.91,209,1.130334
75,59.250000,25.875000,27,1.602060,-276.8,0.212188,-157.08,0.000000,4.316962,-26.56,162,0.986772
76,55.450000,37.025000,27,1.698970,-256.4,0.049218,-154.55,0.000542,4.431786,-31.53,286,0.986772
77,55.450000,37.025000,31,1.698970,-256.4,0.049218,-154.55,0.000538,4.427607,-31.53,287,1.079181
78,53.800000,37.325000,26,1.728354,-270.2,0.193125,-160.4,0.000000,4.389525,-29.18,314,0.986772
79,55.675000,36.425000,27,1.587711,-248.6,0.082785,-153.03,0.000000,3.857689,-31.12,278,0.986772
80,55.675000,36.425000,31,1.587711,-248.6,0.133539,-153.03,0.000000,3.822431,-31.12,285,1.146128
81,55.625000,36.375000,26,1.712650,-247.5,0.392697,-153.06,0.000000,4.337797,-31.15,286,0.986772
82,55.625000,35.875000,34,1.712650,-240.8,0.392697,-151.88,0.000000,4.348603,-30.82,280,1.146128
83,52.150000,23.725000,27,1.559907,-258.4,0.143015,-156.78,0.000000,3.974907,-26.88,208,0.986772
