2000.95,1726.79,3.67
2001.04,1716.89,3.02
2001.12,1710.5,1.46
2001.2,1710.6,1.99
2001.28,1715.33,2.28
2001.37,1723.16,2.68
2001.45,1731.28,3.19
2001.53,1737.06,1.69
2001.62,1740.25,1.88
2001.7,1741.47,1.72
2001.79,1738.8,2.33
2001.87,1731.98,3.54
2001.95,1723.96,3.9
2002.04,1715.35,2.39
2002.12,1711.05,1.04
2002.2,1712.23,2.57
2002.28,1717.17,2.05
2002.37,1724.79,2.93
2002.45,1732.61,2.94
2002.53,1738.45,1.98
2002.62,1741.74,2.2
2002.7,1742.83,0.77
2002.79,1741.65,1.74
2002.87,1737.13,2.32
2002.95,1728.61,3.39
2003.04,1718.96,2.73
2003.12,1712.85,1.62
2003.2,1712.39,1.87
2003.28,1718.35,2.64
2003.37,1726.67,2.6
2003.45,1732.47,2.96
2003.53,1736.97,1.76
2003.62,1741.81,1.63
2003.7,1744.57,1.67
2003.79,1742.21,2.17
2003.87,1735.91,2.92
2003.95,1729.35,3.05
2004.04,1720.97,2.82
2004.12,1713.24,2.22
2004.2,1710.97,2.77
2004.29,1716.34,3.32
2004.37,1725.11,3.02
2004.45,1731.72,2.82
2004.54,1738.21,2.75
2004.62,1743.06,2.06
2004.7,1743.26,1.93
2004.79,1740.94,1.88
2004.87,1734.78,2.79
2004.95,1726.17,3.83
2005.04,1717.36,2.9
2005.12,1711.44,1.91
2005.2,1711.61,3.18
2005.28,1717.08,2.21
2005.37,1725.4,3.7
2005.45,1731.03,1.28
2005.53,1735.01,3.41
2005.62,1740.45,1.94
2005.7,1742.03,0.92
2005.79,1740.16,3.75
2005.87,1735.78,1.71
2005.95,1728.81,2.96
2006.04,1719.81,3.05
2006.12,1712.24,3.64
2006.2,1711.65,2.44
2006.28,1716.87,3.43
2006.37,1723.25,3.34
2006.45,1729.63,2.03
2006.53,1734.68,3.96
2006.62,1737.93,2.85
2006.7,1740.39,1.75
2006.79,1739.98,2.32
2006.87,1735.74,3.88
2006.95,1727.87,2.98
2007.04,1718.09,2.66
2007.12,1712.64,1.85
2007.2,1713.97,2.28
2007.28,1720.05,2.16
2007.37,1728.03,2.97
2007.45,1736.24,3.09
2007.53,1742.34,2.55
2007.62,1745.68,1.7
2007.7,1748.6,1.99
2007.79,1748.68,1.71
2007.87,1744.05,2.28
2007.95,1736.75,2.55
2008.04,1729.27,2.78
2008.12,1724.52,1.99
2008.2,1725.99,3.47
2008.29,1732.78,4.14
2008.37,1738.16,1.71
2008.45,1742.48,2.88
2008.54,1750.33,3.37
2008.62,1756.03,1.49
2008.7,1755.97,2.23
2008.79,1754.51,2.4
2008.87,1749.24,3.94
2008.95,1738.91,3.59
2009.04,1730.38,3.83
2009.12,1726.15,0.66
2009.2,1726.73,2.1
2009.28,1732.22,2.42
2009.37,1738.97,3.83
2009.45,1746.02,4.17
2009.53,1752.83,2.62
2009.62,1758.31,1.65
2009.7,1760.38,1.59
2009.79,1759.05,1.64
2009.87,1753.71,2.86
2009.95,1743.5,3.68
2010.04,1735.42,2.35
2010.12,1732.12,1.14
2010.2,1732.38,2.33
2010.28,1736.63,1.59
2010.37,1742.44,2.33
2010.45,1751.79,3.89
